pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
377.890000,382.890000,373.840000,188.020000,376.131145,327.212571,375.583529,278.019424,377.637089,317.807999,376.070763,307.238159,375.273057,297.804048,375.284091,292.903952,375.678030,284.464280
379.030000,385.290000,373.960000,188.010000,378.047801,330.106285,376.541857,278.260567,377.773993,319.254856,377.096385,309.245416,376.412637,299.409854,376.761364,293.442655,375.678030,285.002983
382.380000,391.700000,374.880000,188.020000,379.416841,334.929143,378.047801,278.742853,378.458513,321.666285,378.349923,311.654125,377.438259,301.818563,377.844697,295.058762,377.253788,287.516928
382.170000,384.970000,374.860000,188.020000,380.238266,331.553143,378.458513,278.260567,380.101362,320.219428,379.033671,308.041062,378.122007,299.610580,378.435606,294.160925,378.140152,285.362118
382.400000,388.870000,373.930000,188.010000,380.238266,332.517714,378.047801,278.983996,380.101362,319.978285,379.831377,310.449771,379.147629,301.417112,378.731061,293.981357,378.928030,288.594333
382.720000,379.990000,374.950000,188.010000,379.006129,323.113142,378.047801,278.983996,379.690650,315.878856,379.033671,307.840336,378.463881,300.012032,378.829545,293.083520,378.731061,286.619090
382.090000,383.000000,376.820000,188.020000,379.416841,323.836571,378.047801,278.983996,379.279937,317.325713,379.033671,307.840336,378.691797,299.610580,378.534091,293.622222,378.731061,285.900820
380.310000,381.710000,377.990000,188.020000,379.690650,327.936000,378.184705,277.537139,378.047801,315.155427,377.666175,308.041062,377.666175,298.205500,378.238636,292.006115,378.041667,285.362118
380.780000,380.750000,381.910000,188.020000,380.238266,325.765714,380.238266,278.742853,378.869225,315.155427,379.147629,305.632353,379.147629,297.201871,379.125000,292.006115,380.109848,284.823415
382.520000,388.370000,384.860000,188.020000,382.154922,333.000000,383.387058,277.537139,382.565634,319.978285,381.882622,307.238159,381.882622,298.205500,381.488636,292.365250,383.162879,284.823415
385.950000,383.460000,385.910000,188.020000,384.208482,327.453714,385.029907,278.983996,385.440619,317.084570,383.819908,308.442513,384.617614,298.807677,384.344697,292.903952,384.049242,284.464280
390.800000,390.840000,388.950000,188.030000,389.137027,335.170286,388.863219,276.813710,389.273931,323.836571,389.289893,310.449771,388.036354,300.212757,388.875000,295.058762,388.382576,286.080388
394.480000,385.330000,393.870000,188.840000,391.738204,330.347428,392.012012,277.537139,391.327492,320.701713,391.455095,310.851222,391.113221,300.212757,392.026515,293.083520,392.321970,286.439523
398.717857,390.352405,394.820000,188.890000,395.297709,335.170286,394.065572,279.466282,394.886997,320.701713,394.759877,312.055576,393.848213,301.216386,394.685606,293.981357,394.981061,286.978225
400.389286,386.359038,393.920000,188.870000,396.666749,333.723429,395.297709,278.983996,396.666749,318.772570,395.785499,311.654125,396.469247,302.019289,395.670455,295.058762,395.867424,286.080388
403.732143,383.364013,395.920000,188.880000,399.952446,328.659428,399.815542,278.983996,399.541734,316.361142,400.343820,308.643239,400.299242,301.523192,399.806818,295.058762,399.117424,286.439523
409.582143,387.357380,395.930000,188.880000,406.797647,329.382857,403.511950,279.466282,404.880991,319.254856,404.788182,310.650496,404.534091,302.600597,404.238636,297.393139,404.140152,287.516928
412.925000,377.373964,393.910000,188.880000,407.345263,323.836571,403.922662,277.537139,407.208359,314.914284,407.523175,308.442513,407.067343,297.804048,406.306818,293.442655,405.912879,284.464280
415.432143,387.357380,394.840000,188.900000,410.630960,329.624000,407.208359,277.537139,409.398823,318.772570,408.890671,310.048319,408.206923,300.814935,407.685606,294.160925,407.981061,286.439523
414.980000,382.070000,397.940000,188.890000,408.851207,324.559999,405.976223,278.742853,408.988111,315.878856,408.206923,307.438884,407.409217,297.603323,407.685606,292.544817,407.094697,286.439523
415.040000,390.070000,402.880000,188.890000,413.369040,333.964572,410.630960,278.260567,411.863096,320.219428,411.853579,311.854851,410.941915,301.417112,410.443182,295.238330,410.935606,286.619090
413.590000,389.250000,401.910000,188.880000,412.547616,335.893715,410.630960,276.813710,413.095232,323.595428,411.967537,314.062834,411.283789,303.825821,410.935606,297.393139,410.541667,286.080388
414.590000,391.880000,397.980000,188.890000,413.916656,337.581715,409.672632,278.019424,413.095232,326.489142,412.537327,314.665011,411.625663,304.227272,411.329545,297.213572,410.935606,287.157793
417.470000,396.280000,398.980000,188.900000,415.422601,338.787429,411.041672,277.537139,415.422601,328.900571,414.246698,317.675897,413.335033,305.632353,412.708333,298.470544,412.412879,289.851305
417.070000,390.700000,401.930000,188.890000,415.422601,335.411429,411.041672,276.813710,414.738081,324.559999,413.904824,315.267188,413.676908,304.829450,413.299242,296.674870,413.003788,286.978225
415.650000,393.140000,403.930000,188.880000,413.779752,336.134857,411.041672,278.742853,414.190464,326.489142,413.221075,316.070091,412.537327,303.825821,412.117424,296.315735,411.821970,287.876063
413.550000,383.180000,406.920000,188.890000,411.315480,330.106285,408.851207,278.983996,412.547616,318.772570,410.486083,311.654125,410.144209,303.625095,409.556818,297.213572,409.655303,289.133035
413.650000,383.150000,408.940000,188.890000,410.904768,335.170286,408.988111,278.260567,410.083344,318.531427,410.258167,310.449771,409.460461,303.625095,410.147727,296.674870,409.753788,290.390007
410.430000,378.440000,408.880000,188.900000,408.851207,322.148571,408.440495,277.295996,409.672632,313.467427,408.206923,307.238159,408.434839,300.212757,408.571970,293.083520,408.473485,286.619090
413.090000,381.220000,408.900000,188.890000,410.083344,324.318856,408.988111,276.813710,409.672632,315.637713,409.574419,306.836707,408.890671,298.205500,409.261364,292.903952,409.458333,285.900820
415.710000,383.230000,410.990000,188.900000,412.273808,334.688000,410.220248,278.742853,411.726192,315.878856,411.283789,309.446142,410.600041,300.614209,411.034091,294.340492,411.723485,286.978225
415.960000,385.570000,411.900000,188.900000,413.779752,332.517714,411.863096,279.707425,413.095232,319.978285,412.537327,310.449771,412.309411,300.614209,412.215909,294.340492,412.117424,287.157793
