pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y
382.170000,217.030000,374.860000,413.980000,380.238266,270.446857,378.458513,323.739433,380.101362,281.780572,379.033671,293.958938,378.122007,302.389420,378.435606,307.839075,378.140152,316.637882
382.400000,213.130000,373.930000,413.990000,380.238266,269.482286,378.047801,323.016004,380.101362,282.021715,379.831377,291.550229,379.147629,300.582888,378.731061,308.018643,378.928030,313.405667
382.720000,222.010000,374.950000,413.990000,379.006129,278.886858,378.047801,323.016004,379.690650,286.121144,379.033671,294.159664,378.463881,301.987968,378.829545,308.916480,378.731061,315.380910
382.090000,219.000000,376.820000,413.980000,379.416841,278.163429,378.047801,323.016004,379.279937,284.674287,379.033671,294.159664,378.691797,302.389420,378.534091,308.377778,378.731061,316.099180
380.310000,220.290000,377.990000,413.980000,379.690650,274.064000,378.184705,324.462861,378.047801,286.844573,377.666175,293.958938,377.666175,303.794500,378.238636,309.993885,378.041667,316.637882
380.780000,221.250000,381.910000,413.980000,380.238266,276.234286,380.238266,323.257147,378.869225,286.844573,379.147629,296.367647,379.147629,304.798129,379.125000,309.993885,380.109848,317.176585
382.520000,213.630000,384.860000,413.980000,382.154922,269.000000,383.387058,324.462861,382.565634,282.021715,381.882622,294.761841,381.882622,303.794500,381.488636,309.634750,383.162879,317.176585
385.950000,218.540000,385.910000,413.980000,384.208482,274.546286,385.029907,323.016004,385.440619,284.915430,383.819908,293.557487,384.617614,303.192323,384.344697,309.096048,384.049242,317.535720
390.800000,211.160000,388.950000,413.970000,389.137027,266.829714,388.863219,325.186290,389.273931,278.163429,389.289893,291.550229,388.036354,301.787243,388.875000,306.941238,388.382576,315.919612
394.480000,216.670000,393.870000,413.160000,391.738204,271.652572,392.012012,324.462861,391.327492,281.298287,391.455095,291.148778,391.113221,301.787243,392.026515,308.916480,392.321970,315.560477
398.600000,215.060000,394.820000,413.110000,395.297709,266.829714,394.065572,322.533718,394.886997,281.298287,394.759877,289.944424,393.848213,300.783614,394.685606,308.018643,394.981061,315.021775
399.280000,217.140000,393.920000,413.130000,396.666749,268.276571,395.297709,323.016004,396.666749,283.227430,395.785499,290.345875,396.469247,299.980711,395.670455,306.941238,395.867424,315.919612
401.680000,218.860000,395.920000,413.120000,399.952446,273.340572,399.815542,323.016004,399.541734,285.638858,400.343820,293.356761,400.299242,300.476808,399.806818,306.941238,399.117424,315.560477
408.830000,216.070000,395.930000,413.120000,406.797647,272.617143,403.511950,322.533718,404.880991,282.745144,404.788182,291.349504,404.534091,299.399403,404.238636,304.606861,404.140152,314.483072
411.960000,223.170000,393.910000,413.120000,407.345263,278.163429,403.922662,324.462861,407.208359,287.085716,407.523175,293.557487,407.067343,304.195952,406.306818,308.557345,405.912879,317.535720
