,0
611,0.03113244694409605
612,0.0475114859453342
613,-0.10438871159463921
614,-0.1504803186440219
615,-0.349369532674908
616,-0.34135921566555144
617,-0.09608230911559354
618,-0.2651663653644477
619,-0.36133311197042584
620,-0.12706773322859494
621,-0.2320435037749138
622,-0.14481687860677922
623,-0.46345928635582057
624,-0.2611800417781755
625,0.1101427215979783
626,0.024084168433359976
627,-0.24458848756093385
628,-0.11721012487425089
629,-0.19701778143094592
630,-0.11907185060510841
631,-0.04518654793807516
632,-0.00308556763100281
633,-0.13133774956304128
634,-0.44610396077629927
635,-0.4925920940501254
636,0.020645702681448337
637,-0.22413434150109016
638,-0.2779804336388163
639,0.06813977598793351
640,-0.13399872939543828
641,-0.11033699432048685
642,0.112556724814424
643,-0.014704942902407194
644,-0.17716907936571727
645,-0.1879955222095228
646,-0.18269258996808949
647,-0.08908560686730543
648,-0.13318078512338297
649,-0.023242676278206822
650,-0.12955740763516643
651,-0.03706629650230633
652,-0.4173254124526076
653,-0.14582318281392512
654,0.10527500110648494
655,-0.1473470994819949
656,-0.009028274289420246
657,-0.04757093259792505
658,0.02891321848592609
659,0.11875255306282304
660,-0.10339685820209203
661,-0.18083098939835948
662,0.15561910953013644
663,-0.05767373490281096
664,0.16571657990859573
665,0.0007453898564988659
666,0.14025496633257808
667,0.14011113411726184
668,-0.018122965323422304
669,-0.05099520073450912
670,-0.1231121616901149
671,-0.05155980285717666
672,-0.18946099705369698
673,-0.25583036550112664
674,-0.2069842944043619
675,-0.21890500781874134
676,-0.15612771961128638
677,-0.09951947925469448
678,0.019283581653456325
679,-0.012967746452210473
680,0.13454338251229123
681,0.17804416565687042
682,0.1597527608631698
683,-0.12453333096089839
684,-0.12536018019949272
685,-0.058364505593437074
686,0.09856950772994104
687,-0.04871108331094068
688,-0.25488739989425
689,-0.17009239531442277
690,-0.18637019954072898
691,-0.059184003738659646
692,0.008271566119288625
693,-0.08941015435332812
694,-0.02631662578783156
695,0.05845756867892048
696,-0.0947706578321676
697,0.05599287637045393
698,-0.12210546314378591
699,-0.12216572580056512
700,-0.4117261415668223
701,-0.14784125593082986
702,-0.13361157210905675
703,-0.08946041049131152
704,-0.43660484905790015
705,-0.05961918219879772
706,0.04732824426864829
707,0.06793451201181079
708,0.017391871642846158
709,-0.01704286473773759
710,0.13873156943707746
711,-0.10383952492373948
712,-0.07805000774270744
713,-0.05413981451040711
714,-0.2753711726760101
715,-0.16420542383557427
716,-0.0685120308762188
717,-0.020853485894016956
718,-0.17390120767037315
719,-0.08324019954395533
720,-0.06836069821672923
721,-0.11193480058103644
722,-0.09979209242215327
723,-0.11096434397127203
724,-0.22320635588843407
725,-0.17315560196728602
726,-0.25247652739346277
727,-0.06865433997021407
728,-0.14731110898580999
729,-0.17693081332421218
730,-0.09956147957869434
731,-0.16832679061965802
732,-0.14073638048529052
733,0.013747764261649977
