body_X,body_Y,nectary_X,nectary_Y,prob_base_X,prob_base_Y,prob_mid_X,prob_mid_Y,prob_1_X,prob_1_Y,prob_2_X,prob_2_Y,prob_3_X,prob_3_Y,prob_4_X,prob_4_Y,prob_5_X,prob_5_Y
381.03,380.96,376.85,188.02,378.184705,322.148571,378.0,278.0,379.69065,314.431999,379.03367099999997,306.03380400000003,378.349923,297.603323,378.140152,292.00611499999997,378.435606,285.00298300000003
380.97,380.95,376.79,188.02,380.238266,323.59542799999997,377.8,278.0,379.279937,314.914284,379.37554500000005,306.03380400000003,379.717419,297.804048,379.125,292.36525,378.92803,285.54168500000003
379.7,381.09,375.83,188.02,383.79777,325.765714,381.881114,276.81371,383.11325,312.985141,382.56637,306.23453,383.13616,295.79679100000004,382.965909,290.92871,382.57197,284.284713
386.249457,387.107605,374.88,188.02,384.34538599999996,329.14171400000004,382.565634,278.019424,384.619195,318.531427,383.933866,310.851222,383.819908,301.41711200000003,383.162879,294.699627,383.162879,285.00298300000003
383.810899,377.03612200000003,375.85,188.02,382.565634,324.318856,380.51207400000004,278.74285299999997,382.976346,314.431999,382.45241200000004,308.44251299999996,382.224496,299.409854,381.981061,293.442655,381.882576,285.90082
383.506079,382.529658,375.96,188.01,381.881114,326.971428,380.101362,278.019424,382.154922,317.807999,381.768664,310.851222,381.540748,299.61057999999997,380.897727,293.622222,380.799242,285.90082
381.31,376.47,374.93,188.01,380.238266,324.077714,378.184705,278.260567,380.101362,313.467427,379.03367099999997,308.041062,378.805755,297.804048,378.731061,292.903952,378.632576,285.00298300000003
377.40968300000003,381.61406800000003,374.93,188.01,376.952569,327.21257099999997,375.172817,280.18971,377.637089,314.190856,377.096385,310.249045,376.754511,299.409854,376.367424,295.058762,375.776515,287.696495
374.41,381.6,376.88,188.02,375.583529,328.659428,375.583529,278.74285299999997,375.309721,314.914284,375.72888900000004,307.840336,375.045141,300.212757,374.988636,293.442655,375.481061,286.978225
375.79,382.49,377.99,188.02,376.404953,327.21257099999997,376.131145,277.537139,377.226377,316.361142,375.956805,310.249045,376.412637,301.818563,376.367424,294.699627,376.564394,286.439523
377.59,386.85,378.0,188.02,378.595417,332.03542799999997,378.458513,277.295996,378.595417,318.77257000000003,378.463881,311.654125,378.691797,301.818563,378.534091,295.058762,378.92803,287.696495
379.89,382.2,377.9,188.02,379.69065,327.21257099999997,377.36328100000003,277.537139,379.827554,316.361142,379.03367099999997,311.051948,379.717419,300.814935,378.829545,294.52006,378.731061,286.978225
