106,"          3           2
7.54e-05 x - 0.07193 x + 22.96 x - 2034"
107,"           3           2
1.997e-05 x - 0.01914 x + 6.243 x - 278.4"
108,"           3           2
0.0001047 x - 0.09464 x + 28.55 x - 2471"
109,"           3           2
1.918e-05 x - 0.01854 x + 6.032 x - 259.4"
110,"           3            2
7.472e-06 x - 0.008482 x + 3.183 x + 1.317"
111,"            3           2
-3.605e-05 x + 0.03206 x - 9.342 x + 1279"
112,"           3           2
4.659e-06 x - 0.00602 x + 2.503 x + 49.5"
113,"            3            2
-4.463e-06 x + 0.003041 x - 0.53 x + 384.7"
114,"            3            2
-7.419e-06 x + 0.006523 x - 1.879 x + 548.3"
115,"            3            2
-4.429e-06 x + 0.002713 x - 0.3755 x + 353.7"
116,"           3           2
-3.29e-05 x + 0.02829 x - 8.049 x + 1119"
117,"           3           2
3.905e-05 x - 0.03599 x + 11.01 x - 761.3"
118,"           3           2
5.118e-05 x - 0.04636 x + 14.01 x - 1057"
119,"           3          2
-0.000126 x + 0.1116 x - 32.84 x + 3561"
120,"           3           2
3.272e-05 x - 0.02929 x + 8.687 x - 504.1"
121,"           3           2
1.473e-05 x - 0.01296 x + 3.731 x - 4.38"
122,"           3           2
2.386e-05 x - 0.02166 x + 6.489 x - 295.8"
123,"            3           2
-5.432e-05 x + 0.04918 x - 14.83 x + 1836"
124,"            3           2
-0.0001055 x + 0.09449 x - 28.19 x + 3149"
125,"           3           2
1.964e-05 x - 0.01814 x + 5.503 x - 201.9"
126,"            3            2
-1.143e-05 x + 0.007897 x - 1.687 x + 448.8"
127,"            3           2
-0.0001027 x + 0.09021 x - 26.4 x + 2917"
128,"           3           2
2.398e-05 x - 0.02213 x + 6.715 x - 328.8"
129,"           3          2
-0.000122 x + 0.1097 x - 32.88 x + 3629"
130,"           3          2
-0.000144 x + 0.1308 x - 39.54 x + 4324"
131,"            3           2
-1.712e-05 x + 0.01419 x - 3.986 x + 727.4"
132,"            3           2
-1.966e-05 x + 0.01704 x - 4.988 x + 842.6"
133,"           3           2
0.0001029 x - 0.09265 x + 27.71 x - 2400"
134,"            3         2
-0.0001072 x + 0.095 x - 28.09 x + 3124"
135,"           3           2
4.151e-05 x - 0.03666 x + 10.72 x - 678.5"
136,"            3            2
-9.245e-07 x - 0.001577 x + 1.169 x + 178.1"
137,"           3            2
6.037e-06 x - 0.004391 x + 1.012 x + 290.9"
138,"            3           2
-6.495e-05 x + 0.05905 x - 17.89 x + 2167"
139,"           3            2
8.513e-06 x - 0.008472 x + 2.788 x + 58.85"
140,"            3          2
-3.498e-05 x + 0.0316 x - 9.529 x + 1320"
141,"            3           2
-6.077e-05 x + 0.05572 x - 17.02 x + 2094"
142,"            3           2
-2.047e-05 x + 0.01878 x - 5.789 x + 963.6"
143,"           3          2
-0.000123 x + 0.1105 x - 33.03 x + 3653"
144,"           3            2
-9.93e-06 x + 0.007292 x - 1.688 x + 486.5"
145,"            3           2
-2.377e-05 x + 0.02073 x - 5.999 x + 938.2"
146,"            3          2
-0.0001013 x + 0.0899 x - 26.51 x + 2956"
147,"            3           2
-5.931e-05 x + 0.05375 x - 16.22 x + 1988"
148,"           3           2
2.567e-05 x - 0.02547 x + 8.336 x - 541.3"
149,"            3           2
-2.895e-05 x + 0.02586 x - 7.684 x + 1115"
150,"          3           2
1.89e-05 x - 0.01589 x + 4.423 x - 51.02"
151,"            3           2
-9.555e-05 x + 0.08652 x - 26.05 x + 2965"
152,"            3           2
-4.779e-05 x + 0.04172 x - 12.16 x + 1540"
153,"          3           2
5.66e-05 x - 0.05112 x + 15.32 x - 1166"
154,"            3           2
-5.841e-05 x + 0.05078 x - 14.7 x + 1776"
155,"            3           2
-4.913e-05 x + 0.04259 x - 12.32 x + 1549"
156,"            3          2
-0.0002505 x + 0.2174 x - 62.89 x + 6418"
157,"           3           2
2.542e-05 x - 0.02301 x + 6.896 x - 330.3"
158,"           3          2
-0.000277 x + 0.2457 x - 72.63 x + 7503"
159,"            3          2
-0.0001312 x + 0.1176 x - 35.09 x + 3842"
160,"            3           2
-2.576e-05 x + 0.02313 x - 6.926 x + 1047"
161,"            3           2
-5.306e-05 x + 0.04709 x - 13.91 x + 1723"
162,"          3            2
2.23e-06 x - 0.002419 x + 0.8877 x + 247.9"
163,"            3             2
-1.827e-06 x - 1.505e-05 x + 0.579 x + 233"
164,"            3           2
-3.456e-05 x + 0.02939 x - 8.196 x + 1105"
165,"           3           2
3.037e-06 x - 0.00243 x + 0.7158 x + 276.6"
166,"           3          2
-0.000138 x + 0.1233 x - 36.6 x + 3967"
